school,sex,age,address,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total,average_grade,Avg_Parent_Edu,Parent_Job_Type,Total_Alcohol,Grade_Improvement,Study_Efficiency,Avg_Daily_Absences,School_Higher_Interaction,Age_Group,Internet_Studytime,Internet_Activities
GP,F,0.4285714285714284,U,4,4,at_home,teacher,course,mother,2,2,0,yes,no,yes,yes,no,no,4,3,4,1,1,3,0.125,0.0,0.5789473684210527,11,0.21212121212121215,0.21212121212121215,1.0,at_home_teacher,0.0,1.0,0.12280701754385964,0.125,GP_yes,18-20,no_2,no_no
GP,F,0.2857142857142856,U,1,1,at_home,other,course,father,1,2,0,no,no,no,yes,yes,no,5,3,3,1,1,3,0.0625,0.47368421052631576,0.5789473684210527,11,0.48484848484848486,0.48484848484848486,0.25,at_home_other,0.0,0.55,0.12280701754385964,0.0625,GP_yes,15-17,yes_2,yes_no
GP,F,0.0,U,1,1,at_home,other,other,mother,1,2,0,yes,no,yes,yes,yes,no,4,3,2,2,3,3,0.1875,0.631578947368421,0.6842105263157894,12,0.6363636363636364,0.6363636363636364,0.25,at_home_other,0.375,0.5,0.12280701754385964,0.1875,GP_yes,,yes_2,yes_no
GP,F,0.0,U,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0.0,0.7368421052631579,0.7368421052631579,14,0.7272727272727273,0.7272727272727273,0.75,health_services,0.0,0.45,0.34210526315789475,0.0,GP_yes,,yes_3,yes_yes
GP,F,0.1428571428571428,U,3,3,other,other,home,father,1,2,0,no,no,yes,yes,no,no,4,3,2,1,2,5,0.0,0.5789473684210527,0.6842105263157894,13,0.6060606060606061,0.6060606060606061,0.75,other_other,0.125,0.55,0.12280701754385964,0.0,GP_yes,15-17,no_2,no_no
GP,M,0.1428571428571428,U,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,no,5,4,2,1,2,5,0.1875,0.631578947368421,0.631578947368421,13,0.6060606060606061,0.6060606060606061,0.875,services_other,0.125,0.45,0.07894736842105263,0.1875,GP_yes,15-17,yes_2,yes_yes
GP,M,0.1428571428571428,U,2,2,other,other,home,mother,1,2,0,no,no,yes,yes,yes,no,4,4,4,1,1,3,0.0,0.6842105263157894,0.631578947368421,13,0.6363636363636364,0.6363636363636364,0.5,other_other,0.0,0.4,0.07894736842105263,0.0,GP_yes,15-17,yes_2,yes_no
GP,F,0.2857142857142856,U,4,4,other,teacher,home,mother,2,2,0,yes,no,yes,yes,no,no,4,1,4,1,1,1,0.0625,0.5263157894736842,0.6842105263157894,13,0.5757575757575758,0.5757575757575758,1.0,other_teacher,0.0,0.6000000000000001,0.47368421052631576,0.0625,GP_yes,15-17,no_2,no_no
GP,M,0.0,U,3,2,services,other,home,mother,1,2,0,no,no,yes,yes,yes,no,4,2,2,1,1,1,0.0,0.7894736842105263,0.8421052631578947,17,0.8181818181818182,0.8181818181818182,0.625,services_other,0.0,0.5,0.21052631578947367,0.0,GP_yes,,yes_2,yes_no
GP,M,0.0,U,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0.0,0.631578947368421,0.631578947368421,13,0.6060606060606061,0.6060606060606061,0.875,other_other,0.0,0.45,0.05263157894736842,0.0,GP_yes,,yes_2,yes_yes
GP,F,0.0,U,4,4,teacher,health,reputation,mother,1,2,0,no,no,yes,yes,yes,no,3,3,3,1,2,2,0.0625,0.7368421052631579,0.7368421052631579,14,0.7272727272727273,0.7272727272727273,1.0,teacher_health,0.125,0.45,0.12280701754385964,0.0625,GP_yes,,yes_2,yes_no
GP,F,0.0,U,2,1,services,other,reputation,father,3,3,0,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0.0,0.5263157894736842,0.631578947368421,13,0.5454545454545455,0.5454545454545455,0.375,services_other,0.0,0.55,0.34210526315789475,0.0,GP_yes,,yes_3,yes_yes
GP,M,0.0,U,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0.0,0.631578947368421,0.6842105263157894,12,0.6363636363636364,0.6363636363636364,1.0,health_services,0.25,0.5,0.03508771929824561,0.0,GP_yes,,yes_1,yes_yes
GP,M,0.0,U,4,3,teacher,other,course,mother,2,2,0,no,no,yes,yes,yes,no,5,4,3,1,2,3,0.0,0.631578947368421,0.631578947368421,13,0.6060606060606061,0.6060606060606061,0.875,teacher_other,0.125,0.45,0.07894736842105263,0.0,GP_yes,,yes_2,yes_no
GP,M,0.0,U,2,2,other,other,home,other,1,3,0,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,0.7368421052631579,0.7368421052631579,15,0.7272727272727273,0.7272727272727273,0.5,other_other,0.0,0.45,0.10526315789473684,0.0,GP_yes,,yes_3,yes_no
GP,F,0.1428571428571428,U,4,4,health,other,home,mother,1,1,0,no,no,yes,yes,yes,no,4,4,4,1,2,2,0.1875,0.894736842105263,0.894736842105263,17,0.9090909090909091,0.9090909090909091,1.0,health_other,0.125,0.45,0.013157894736842105,0.1875,GP_yes,15-17,yes_1,yes_no
GP,F,0.1428571428571428,U,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,no,3,2,3,1,2,2,0.3125,0.6842105263157894,0.6842105263157894,14,0.6666666666666666,0.6666666666666666,1.0,services_services,0.125,0.45,0.34210526315789475,0.3125,GP_yes,15-17,yes_3,yes_yes
GP,F,0.1428571428571428,U,3,3,other,other,reputation,mother,3,2,0,yes,yes,yes,yes,no,no,5,3,2,1,1,4,0.0625,0.6842105263157894,0.7368421052631579,14,0.696969696969697,0.696969696969697,0.75,other_other,0.0,0.5,0.12280701754385964,0.0625,GP_yes,15-17,no_2,no_yes
GP,M,0.2857142857142856,U,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,no,5,5,5,2,4,5,0.0625,0.42105263157894735,0.42105263157894735,7,0.36363636363636365,0.36363636363636365,0.625,services_services,0.5,0.45,0.0,0.0625,GP_yes,15-17,yes_1,yes_yes
GP,M,0.1428571428571428,U,4,3,health,other,home,father,1,1,0,no,yes,yes,yes,yes,no,3,1,3,1,3,5,0.1875,0.631578947368421,0.631578947368421,12,0.6060606060606061,0.6060606060606061,0.875,health_other,0.25,0.45,0.21052631578947367,0.1875,GP_yes,15-17,yes_1,yes_yes
GP,M,0.0,U,4,3,teacher,other,reputation,mother,1,2,0,no,no,yes,yes,yes,no,4,4,1,1,1,1,0.0,0.631578947368421,0.6842105263157894,14,0.6363636363636364,0.6363636363636364,0.875,teacher_other,0.0,0.5,0.07894736842105263,0.0,GP_yes,,yes_2,yes_no
GP,M,0.0,U,4,4,health,health,other,father,1,1,0,no,no,yes,yes,yes,no,5,4,2,1,1,5,0.0,0.5789473684210527,0.631578947368421,12,0.5757575757575758,0.5757575757575758,1.0,health_health,0.0,0.5,0.013157894736842105,0.0,GP_yes,,yes_1,yes_no
GP,M,0.1428571428571428,U,4,2,teacher,other,course,mother,1,2,0,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0.0,0.631578947368421,0.6842105263157894,14,0.6363636363636364,0.6363636363636364,0.75,teacher_other,0.25,0.5,0.05263157894736842,0.0,GP_yes,15-17,yes_2,yes_yes
GP,M,0.1428571428571428,U,2,2,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0.0625,0.5263157894736842,0.5263157894736842,10,0.48484848484848486,0.48484848484848486,0.5,other_other,0.5,0.45,0.07894736842105263,0.0625,GP_yes,15-17,yes_2,yes_yes
