iter	RMSE
0	3.087893243
1	2.929214383
2	2.777963742
3	2.621532114
4	2.505324814
5	2.381229045
6	2.273460289
7	2.17016749
8	2.088764549
9	2.002730569
10	1.931517579
11	1.841896958
12	1.780460802
13	1.709495473
14	1.658291178
15	1.598555275
16	1.561942632
17	1.516512025
18	1.483760739
19	1.445418632
20	1.416620293
21	1.36789865
22	1.339790873
23	1.308194699
24	1.283372507
25	1.255311993
26	1.238645497
27	1.223171694
28	1.195181719
29	1.170078672
30	1.148695455
31	1.127327715
32	1.114808752
33	1.09239801
34	1.074826998
35	1.055355439
36	1.046316599
37	1.034579555
38	1.024238026
39	1.017219813
40	1.005330731
41	0.9979101089
42	0.9857636878
43	0.9775267119
44	0.9660399423
45	0.9587718714
46	0.947942596
47	0.9421267404
48	0.9327040607
49	0.9227717036
50	0.9150282933
51	0.9092203616
52	0.9031282926
53	0.8977875574
54	0.8847396211
55	0.8757386224
56	0.8664276193
57	0.8551003638
58	0.8512379321
59	0.8392633824
60	0.8288449605
61	0.8178815112
62	0.8122357389
63	0.8083659356
64	0.8030692946
65	0.7999968893
66	0.7950135723
67	0.7876867429
68	0.7815464669
69	0.775260814
70	0.765222316
71	0.7642499052
72	0.7566922181
73	0.748554757
74	0.7384141582
75	0.7339103199
76	0.7241643315
77	0.717761961
78	0.7111237111
79	0.7073626251
80	0.7044477618
81	0.6978050547
82	0.6917396764
83	0.68936965
84	0.6844387812
85	0.6791600919
86	0.6722656431
87	0.6678348427
88	0.6650167032
89	0.6575977252
90	0.6519111637
91	0.6454966463
92	0.6406017188
93	0.6386477237
94	0.6325846168
95	0.6246058582
96	0.6201409351
97	0.6165626527
98	0.610939674
99	0.6045315451
