iter	Passed	Remaining
0	1	164
1	2	129
2	3	106
3	4	99
4	4	92
5	5	87
6	6	83
7	7	83
8	7	80
9	8	77
10	9	75
11	9	72
12	10	70
13	11	68
14	11	66
15	12	65
16	13	63
17	13	61
18	14	60
19	15	60
20	15	58
21	16	57
22	17	56
23	17	55
24	18	55
25	19	54
26	19	53
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	35
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	46	26
64	47	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	51	21
71	52	20
72	53	19
73	54	19
74	55	18
75	56	17
76	56	17
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	71	0
