iter	RMSE
0	4.277507664
1	3.981035104
2	3.751709126
3	3.549126283
4	3.326420233
5	3.125412511
6	2.93673769
7	2.789702504
8	2.649782537
9	2.507415333
10	2.357297105
11	2.244868413
12	2.160353858
13	2.075679027
14	1.988039919
15	1.924240797
16	1.863148213
17	1.820718688
18	1.771975781
19	1.731406598
20	1.679830904
21	1.649730106
22	1.616035062
23	1.59030949
24	1.561480462
25	1.508177194
26	1.47629109
27	1.457637829
28	1.435812846
29	1.419451783
30	1.388401125
31	1.36776543
32	1.344075726
33	1.300827571
34	1.286209876
35	1.268896687
36	1.250819042
37	1.234503107
38	1.225587396
39	1.192655174
40	1.185512566
41	1.178341644
42	1.164750106
43	1.138375776
44	1.132891147
45	1.123810978
46	1.103204668
47	1.084622721
48	1.078092212
49	1.056309541
50	1.040902665
51	1.031510275
52	1.022569796
53	1.019740487
54	1.011913972
55	0.9999231026
56	0.9813061436
57	0.9761478439
58	0.957745441
59	0.9516999314
60	0.9454642825
61	0.9398066232
62	0.9332010045
63	0.9275876701
64	0.9190654773
65	0.9037794127
66	0.8959716684
67	0.8903409743
68	0.8828675673
69	0.8763053244
70	0.8688841213
71	0.8631379238
72	0.8577376801
73	0.8540801039
74	0.847715182
75	0.8447823375
76	0.8398216598
77	0.8364889771
78	0.8323433722
79	0.8231253894
80	0.8162885618
81	0.8060553826
82	0.8041156351
83	0.7984471908
84	0.7912263917
85	0.7858732254
86	0.7801375787
87	0.7742213015
88	0.7686254941
89	0.761184093
90	0.7575022618
91	0.7538180252
92	0.7462512063
93	0.7369748989
94	0.7339116158
95	0.7290745385
96	0.72345209
97	0.7171567491
98	0.7131678036
99	0.7097013001
100	0.7074002834
101	0.7019164434
102	0.6964439253
103	0.6930553295
104	0.6896543815
105	0.6872171597
106	0.6796978298
107	0.6764326049
108	0.6733502818
109	0.6680981772
110	0.6625413483
111	0.658743747
112	0.6533827823
113	0.6476394571
114	0.6449427963
115	0.6420543514
116	0.6381876564
117	0.63755633
118	0.6334588743
119	0.6321231965
120	0.6302772712
121	0.6267893529
122	0.6227783092
123	0.6196042883
124	0.6180249488
125	0.6132151707
126	0.607467143
127	0.598424115
128	0.5954097731
129	0.5908460131
130	0.5881673935
131	0.584351913
132	0.5809493757
133	0.5780563402
134	0.5733424117
135	0.5667201929
136	0.5655795596
137	0.5627956505
138	0.5580713338
139	0.5552943745
140	0.5534440121
141	0.5511158173
142	0.5481707212
143	0.5432789613
144	0.5409701235
145	0.5361224326
146	0.5318492159
147	0.5288952675
148	0.5266627665
149	0.5224164322
