iter	Passed	Remaining
0	1	176
1	1	121
2	2	126
3	2	106
4	3	95
5	3	87
6	3	81
7	4	75
8	4	71
9	4	67
10	5	64
11	5	62
12	5	60
13	5	58
14	6	56
15	6	54
16	6	52
17	7	51
18	7	50
19	7	49
20	7	48
21	8	47
22	8	47
23	8	46
24	9	45
25	9	44
26	9	44
27	9	43
28	10	42
29	10	41
30	10	41
31	10	40
32	11	39
33	11	39
34	11	38
35	12	38
36	12	37
37	12	37
38	12	36
39	13	36
40	13	35
41	13	35
42	14	34
43	14	34
44	14	33
45	14	33
46	15	33
47	15	32
48	15	32
49	15	31
50	16	31
51	16	30
52	16	30
53	16	30
54	17	29
55	17	29
56	17	28
57	18	28
58	18	28
59	18	27
60	18	27
61	19	27
62	19	26
63	19	26
64	19	26
65	20	25
66	20	25
67	20	25
68	21	24
69	21	24
70	21	23
71	21	23
72	22	23
73	22	22
74	22	22
75	22	22
76	23	21
77	23	21
78	23	21
79	23	20
80	24	20
81	24	20
82	24	19
83	24	19
84	25	19
85	25	18
86	25	18
87	26	18
88	26	18
89	26	17
90	26	17
91	27	17
92	27	16
93	27	16
94	27	16
95	28	15
96	28	15
97	28	15
98	29	15
99	29	14
100	29	14
101	30	14
102	30	13
103	30	13
104	30	13
105	31	12
106	31	12
107	31	12
108	31	12
109	32	11
110	32	11
111	32	11
112	33	10
113	33	10
114	33	10
115	33	9
116	34	9
117	34	9
118	34	9
119	35	8
120	35	8
121	35	8
122	35	7
123	36	7
124	36	7
125	36	7
126	37	6
127	37	6
128	37	6
129	37	5
130	38	5
131	38	5
132	38	4
133	38	4
134	39	4
135	39	4
136	39	3
137	39	3
138	40	3
139	40	2
140	40	2
141	41	2
142	41	2
143	41	1
144	41	1
145	42	1
146	42	0
147	42	0
148	42	0
149	43	0
